time_points	0	10	20	30	40	50	60	70	80	90	100	110	120	130	140	150	160	170	180	190	200	210	220	230
CNAG_00001	1	1.349	1	1	1	1	1	1.164	1.152	1	1.14	1	1	1	1.152	1.234	1	1	1.273	1.147	1.641	1.139	1.129	1.324
CNAG_00002	33.669	53.889	101.539	102.92	61.83	53.856	58.218	73.608	60.464	47.236	47.315	41.554	41.655	44.177	52.279	64.656	48.326	45.443	43.088	47.781	52.153	51.363	54.002	55.619
CNAG_00003	13.18	15.1	17.683	13.538	10.212	11.077	10.993	11.013	11.117	8.967	7.465	7.553	8.375	8.346	8.805	8.775	9.86	10.014	9.824	9.017	9.846	9.542	8.748	9.439
CNAG_00004	38.964	26.649	21.976	16.751	16.11	18.797	17.807	18.434	17.772	17.939	14.025	15.586	13.255	13.915	13.314	14.867	13.728	12.784	14.506	13.898	14.561	13.27	14.046	16.046
CNAG_00005	9.367	6.451	10.319	7.312	6.2	8.112	11.472	13.97	14.506	15.832	14.941	12.956	11.953	14.811	15.353	14.838	14.238	14.361	15.267	16.757	17.55	19.618	20.279	18.412
CNAG_00006	129.953	85.968	71.577	48.72	67.109	87.944	124.98	121.564	121.066	109.533	71.925	75.28	108.866	115.345	117.331	92.128	112.164	100.525	100.838	102.471	108.693	116.187	104.218	107.153
CNAG_00007	38.465	46.501	60.55	82.905	86.833	91.086	103.134	92.629	61.771	62.68	73.223	76.003	78.99	82.798	71.715	75.388	63.681	66.732	66.017	69.586	69.833	66.062	67.213	62.357
CNAG_00008	4.653	5.168	5.224	9.46	9.659	12.114	12.075	13.054	15.628	15.417	11.951	12.449	13.344	12.038	13.104	11.913	12.302	12.39	11.477	12.321	12.46	12.466	13.361	12.643
CNAG_00009	20.612	23.362	113.138	133.091	62.473	23.034	13.183	10.091	17.81	34.423	50.051	53.731	38.27	29.392	32.367	35.313	47.257	47.782	49.253	42.441	37.547	32.964	33.15	36.831
CNAG_00010	11.379	38.667	24.11	27.884	24.761	33.476	32.462	29.547	23.392	21.052	20.226	20.887	18.047	17.265	19.32	20.513	17.302	16.926	17.312	18.632	18.54	18.303	18.818	17.262
CNAG_00011	47.373	11.745	9.34	13.189	15.268	19.337	22.712	21.207	19.464	20.277	20.617	22.189	21.174	26.317	25.711	26.143	24.506	24.492	27.627	29.512	31.38	28.853	26.212	25.486
CNAG_00012	31.408	15.641	7.56	22.976	34.747	37.9	37.602	35.677	32.731	33.741	42.777	47.314	54.982	61.14	53.759	47.447	46.461	49.379	49.028	52.27	54.09	49.629	49.305	46.422
CNAG_00013	3.095	3.274	4.768	8.025	8.021	5.621	4.948	4.539	5.844	6.299	6.114	6.835	6.613	6.016	5.763	5.643	6.691	7.238	6.023	6.678	6.988	6.504	5.422	6.685
CNAG_00014	8.702	4.201	6.877	9.795	7.415	7.094	5.519	5.415	6.311	5.776	5.422	6.43	5.762	5.899	5.769	6.192	6.687	6.146	5.953	6.538	6.07	5.693	6.675	6.171
CNAG_00015	14.942	2.297	5.765	6.138	5.206	4.963	3.14	3.721	4.106	4.592	5.808	5.661	5.937	5.321	5.256	7.221	6.047	5.688	6.768	6.914	6.305	7.628	6.817	8.701
CNAG_00016	72.293	23.633	17.093	34.834	41.638	49.883	65.395	83.912	65.648	64.14	71.026	59.505	75.785	75.939	79.322	101.882	72.189	67.631	70.018	69.03	73.091	81.459	83.137	77.647
CNAG_00017	3.091	3.198	2.626	4.003	3.341	2.905	3.312	2.889	3.474	2.996	2.858	2.62	2.56	2.779	2.663	3.179	2.961	3.025	2.944	2.768	2.633	3.044	3.158	3.005
CNAG_00018	3.025	4.621	2.998	10.696	15.274	13.647	13.838	12.08	14.712	15.701	11.694	12.722	15.699	12.672	13.123	9.347	12.065	13.825	13.182	12.578	12.348	11.849	11.593	11.262
CNAG_00019	163.9	224.214	205.049	182.81	179.912	201.288	251.43	396.714	314.3	312.1	252.238	228.077	234.491	219.114	253.77	273.191	258.168	255.818	213.226	200.142	218.594	241.815	257.276	255.635
CNAG_00020	4.998	8.827	2.781	4.529	5.655	7.215	8.345	14.103	16.992	15.01	9.292	8.365	11.729	12.297	14.5	12.843	11.745	11.802	10.81	11.867	11.936	14.103	14.635	14.012
CNAG_00021	13.565	79.394	101.73	95.61	119.226	175.298	204.988	178.63	126.147	103.244	76.309	74.329	81.36	98.143	93.65	79.211	65.166	63.867	63.216	74.695	76.875	73.28	68.429	61.151
CNAG_00022	15.244	42.312	53.082	92.827	108.189	111.996	112.285	107.549	96.881	102.714	109.636	114.011	103.602	105.718	97.301	93.878	79.934	84.774	75.572	73.197	80.208	71.335	71.591	68.803
CNAG_00023	8.531	9.694	3.06	2.363	1.627	1.883	1.242	2.174	2.244	2.113	1.492	2.072	2.002	1.463	1.959	2.013	1.854	1.846	1.945	1.709	2.274	1.781	1.915	1.685
CNAG_00024	264.553	474.77	528.988	321.864	405.911	622.274	764.254	792.324	625.744	488.915	373.173	334.911	339.603	372.793	393.523	335.859	263.206	245.753	266.653	298.972	298.977	303.844	326.774	286.384
CNAG_00025	73.62	30.107	66.67	49.62	32.399	13.539	12.974	10.852	14.881	17.518	19.689	19.093	18.648	16.763	15.21	17.624	18.118	18.655	20.504	19.734	16.176	16.659	16.497	17.744
CNAG_00026	282.541	413.017	649.833	457.883	362.993	379.851	446.673	439.493	383.844	417	450.575	441.859	392.598	433.546	403.018	402.007	350.026	334.705	330.722	344.546	344.364	343.209	336.009	326.46
CNAG_00027	19.518	2.417	1.905	3.111	3.81	4.304	3.942	3.963	5.65	5.695	6.946	7.466	7.205	7.419	6.563	6.996	6.877	7.073	6.987	6.635	6.557	7.088	6.859	6.446
CNAG_00028	14.377	19.162	36.635	32.433	19.908	17.535	20.419	15.643	17.325	16.097	14.524	16.026	13.601	13.896	13.096	11.603	14.461	14.841	13.5	14.134	12.887	14.293	13.271	13.1
