GENE_ID	GSM77298_T1	GSM77299_T2	GSM77300_T3	GSM77301_T4	GSM77302_T5	GSM77303_T6	GSM77304_T7	GSM77305_T8	GSM77306_T9	GSM77307_T10	GSM77308_T11	GSM77309_T12	GSM77310_T13	GSM77311_T14	GSM77312_T15	GSM77313_T16	GSM77314_T17	GSM77315_T18	GSM77316_T19	GSM77317_T20	GSM77318_T21	GSM77319_T22	GSM77320_T23	GSM77321_T24	GSM77322_T25	GSM77323_T26	GSM77324_T27	GSM77325_T28	GSM77326_T29	GSM77327_T30	GSM77328_T31	GSM77329_T32	GSM77330_T33	GSM77331_T34	GSM77332_T35	GSM77333_T36
YGR234W|YHB1	33.102	16.733	14.173	13.126	11.343	12.259	13.148	16.114	31.631	33.629	38.644	26.564	30.145	19.505	17.59	14.929	13.056	13.511	15.825	19.027	23.135	23.772	30.759	19.442	43.744	28.31	16.23	13.834	11.15	12.611	16.283	25.834	28.118	22.445	27.815	29.789
YEL039C|CYC7	1.23	2.423	1.286	1.631	1.077	1.885	1.866	1.155	0.356	0.934	0.437	0.57	0.661	2.588	1.523	0.913	1.676	2.016	1.524	0.906	1.641	0.438	0.177	0.369	0.781	3.651	1.919	2.562	2.702	2.789	1.424	0.544	0.835	0.6	0.391	0.859
YGL187C|COX4	29.48	26.334	22.992	20.055	22.066	18.979	19.251	17.684	8.393	23.196	25.08	22.585	24.351	26.258	24.042	16.761	19.918	15.47	17.441	12.576	22.917	20.219	22.939	21.382	37.407	25.031	18.758	17.76	17.608	16.691	21.17	14.216	21.873	19.76	20.351	23.358
YGL191W|COX13	23.448	21.726	22.306	17.664	19.42	14.673	15.564	13.21	8.592	17.213	21.731	17.058	19.294	23.14	21.005	18.094	16.03	14.324	13.222	9.342	12.558	14.194	17.819	17.689	29.337	18.056	16.794	15.8	15.083	14.31	16.698	9.82	15.731	13.885	16.77	20.035
YHR051W|COX6	29.857	26.911	26.908	20.949	18.877	17.242	17.073	16.289	11.238	26.492	33.611	24.171	23.746	27.89	24.252	23.659	18.857	11.644	15.718	12.299	19.216	19.991	23.016	18.744	39.896	22.185	20.717	18.058	16.858	17.062	18.485	10.666	21.648	17.816	22.453	24.528
YLR038C|COX12	40.713	48.95	51.821	46.777	40.616	31.031	36.191	30.668	24.632	38.945	43.975	39.173	43.87	51.064	45.668	35.392	43.669	29.881	26.651	25.425	41.928	33.023	39.601	34.288	52.032	53.586	46.286	33.504	37.239	36.879	32.898	24.76	37.378	30.012	37.188	38.622
YLR395C|COX8	32.766	35.924	43.495	38.335	29.136	27.276	27.436	25.353	22.413	31.165	36.876	33.143	35.783	39.135	35.916	24.151	37.53	22.516	22.002	25.637	28.733	26.374	30.916	21.14	37.469	46.664	40.808	27.037	26.096	27.203	29.461	23.717	30.18	25.576	31.929	32.073
YMR256C|COX7	22.186	32.672	43.094	35.976	29.4	25.574	21.982	22.437	22.546	23.559	32.234	32.034	28.219	39.635	37.673	27.164	30.427	25.496	16.759	21.091	15.601	22.374	30.836	20.166	34.02	37.196	37.99	31.079	25.988	28.65	20.822	22.832	31.204	24.207	30.232	29.351
YNL052W|COX5A	33.116	22.792	25.244	21.791	20.048	16.707	19.713	19.473	14.695	26.22	27.15	30.613	33.811	26.776	23.064	23.63	16.455	15.281	15.69	17.902	30.762	27.554	31.971	30.45	35.502	27.862	23.971	13.935	15.14	14.557	19.587	14.911	32.745	23.736	30.201	28.325
YKR016W|AIM28	5.295	2.892	2.637	2.11	1.604	1.244	1.53	1.573	1.598	2.981	2.92	4.813	4.134	3.149	2.351	1.12	0.866	0.941	1.27	1.916	4.355	5.035	4.735	4.996	4.514	3.176	1.888	1.379	1.139	1.086	1.061	1.267	6.134	3.189	4.819	5.287
YNR020C|ATP23	3.107	1.29	0.773	0.73	0.627	0.65	0.788	0.859	0.909	3.184	3.404	3.547	2.589	1.181	0.677	0.508	0.711	0.603	0.786	1.449	2.41	3.322	3.105	3.123	2.604	0.866	1.002	0.614	0.812	0.819	0.887	1.407	2.634	2.912	2.92	2.768
